Datetime	        Return	        TC	        PWMA	        CFO
2025-04-06 00:00:00	-0.063353	0.097518	83357.754822	-4.405054
2025-04-07 00:00:00	0.013052	0.105314	83292.878006	-1.887146
2025-04-08 00:00:00	-0.037400	0.043971	82958.895981	-3.190876
2025-04-09 00:00:00	0.082625	0.040358	82180.915482	4.146230
2025-04-10 00:00:00	-0.035699	0.063664	80982.620438	1.280810
2025-04-11 00:00:00	0.047455	0.052261	79846.513489	4.020963
2025-04-12 00:00:00	0.022568	0.059237	79387.673096	4.199099
2025-04-13 00:00:00	-0.018785	0.039888	79812.304077	1.084233
2025-04-14 00:00:00	0.010246	0.045028	80855.493088	0.331547
2025-04-15 00:00:00	-0.010331	0.069248	82102.665588	-1.995878
2025-04-16 00:00:00	0.004361	0.112240	83187.978592	-1.714685
2025-04-17 00:00:00	0.010256	0.117784	83861.938919	-1.059398
2025-04-18 00:00:00	-0.005241	0.099585	84110.304459	-0.721775
2025-04-19 00:00:00	0.007254	0.136693	84150.371811	-0.338643
2025-04-20 00:00:00	0.001304	0.123854	84214.816544	0.256824
2025-04-21 00:00:00	0.027527	0.094653	84385.826599	1.938099
2025-04-22 00:00:00	0.067677	0.097766	84659.911606	4.873475
2025-04-23 00:00:00	0.002753	0.074870	85142.217667	2.585021
2025-04-24 00:00:00	0.002611	0.069451	86118.697113	0.604723
2025-04-25 00:00:00	0.008268	0.014244	87803.705795	-0.353418
2025-04-26 00:00:00	-0.000777	0.004797	89966.350006	-1.619325
2025-04-27 00:00:00	-0.009425	0.041085	91981.337448	-3.023147
2025-04-28 00:00:00	0.013054	0.092128	93353.557800	-1.969548
2025-04-29 00:00:00	-0.007306	0.174100	94050.369385	-2.262679
2025-04-30 00:00:00	-0.000822	0.281481	94317.678177	-1.350232
2025-05-01 00:00:00	0.024255	0.391076	94395.862442	1.229367
2025-05-02 00:00:00	0.004329	0.498668	94446.548462	0.967673
2025-05-03 00:00:00	-0.010507	0.607022	94592.873703	-0.268230
2025-05-04 00:00:00	-0.016433	0.667461	94924.605347	-1.478755
2025-05-05 00:00:00	0.004581	0.708180	95394.328018	-0.853420
2025-05-06 00:00:00	0.021683	0.742113	95751.473633	0.729687
2025-05-07 00:00:00	0.002374	0.769842	95771.724991	0.632082
2025-05-08 00:00:00	0.063990	0.812325	95591.324509	4.153954
2025-05-09 00:00:00	-0.002621	0.824154	95674.014267	2.104578
2025-05-10 00:00:00	0.016757	0.846665	96440.504135	1.848100
2025-05-11 00:00:00	-0.005635	0.871434	97974.490402	-0.282241
2025-05-12 00:00:00	-0.012424	0.895233	99960.858505	-2.380454
2025-05-13 00:00:00	0.013197	0.895427	101830.489838	-1.818029
2025-05-14 00:00:00	-0.006052	0.895349	103095.213791	-2.262955
2025-05-15 00:00:00	0.001982	0.898539	103647.415604	-1.552711
2025-05-16 00:00:00	-0.002461	0.901981	103738.975143	-1.131698
2025-05-17 00:00:00	-0.002881	0.901408	103692.426025	-0.341683
2025-05-18 00:00:00	0.031543	0.901564	103664.154984	1.868379
2025-05-19 00:00:00	-0.007890	0.905275	103676.903595	0.714450
2025-05-20 00:00:00	0.011220	0.899144	103800.149048	0.874835
2025-05-21 00:00:00	0.027034	0.889605	104176.019943	1.870021
2025-05-22 00:00:00	0.018191	0.888099	104867.929428	1.924642
2025-05-23 00:00:00	-0.039271	0.882997	105821.663651	-2.242718
2025-05-24 00:00:00	0.004692	0.880268	106953.370071	-1.809545
2025-05-25 00:00:00	0.011543	0.882655	108071.037537	-0.910696
2025-05-26 00:00:00	0.003714	0.884166	108803.057755	-0.616713
2025-05-27 00:00:00	-0.004073	0.884498	108939.695816	-0.614127
